LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,Location 1,PRINCIPAL_PHONE_NUMBER
k410,Abraham Lincoln High School,Not Available,NY,BROOKLYN,Not Available
k420,Academy of Innovative Technology,Not Available,NY,BROOKLYN,Not Available
k420,Brooklyn Lab School,Not Available,NY,BROOKLYN,Not Available
k907,Brownsville Academy High School,Not Available,NY,BROOKLYN,Not Available
k420,Cypress Hills Collegiate Preparatory School,Not Available,NY,BROOKLYN,Not Available
k420,Multicultural High School,Not Available,NY,BROOKLYN,Not Available
k907,New Visions A.I.M. Charter High School I,Not Available,NY,BROOKLYN,Not Available
k017,P.S. 017 Henry D. Woodworth,Not Available,NY,BROOKLYN,Not Available
k059,P.S. 059 William Floyd,Not Available,NY,BROOKLYN,Not Available
k115,P.S. 115 Daniel Mucatel School,Not Available,NY,BROOKLYN,Not Available
k807,P.S. 163 Bath Beach,Not Available,NY,BROOKLYN,Not Available
k217,P.S. 217 Colonel David Marcus School,Not Available,NY,BROOKLYN,Not Available
k299,P.S. 299 Thomas Warren Field,Not Available,NY,BROOKLYN,Not Available
k034,PS 34K Oliver H. Perry,Not Available,NY,BROOKLYN,Not Available
k180,Seeall Academy,Not Available,NY,BROOKLYN,Not Available
k614,Young Women's Leadership School of Brooklyn K,Not Available,NY,BROOKLYN,Not Available
x254,I.S. 254,Not Available,NY,BRONX,Not Available
x205,P.S. 205 Fiorello LaGuardia,Not Available,NY,BRONX,Not Available
x455,Harry S Truman High School,Not Available,NY,BRONX,Not Available
x144,Pelham Gardens Middle School,Not Available,NY,BRONX,Not Available
m079,P.S. 079 Horan School,Not Available,NY,MANHATTAN,Not Available
q415,Benjamin N. Cardozo High School,Not Available,NY,QUEENS,Not Available
q799,Cambria Heights Academy Q,Not Available,NY,QUEENS,Not Available
q410,Channel View School for Research,Not Available,NY,QUEENS,Not Available
q744,Civic Leadership Academy,Not Available,NY,QUEENS,Not Available
q420,George Washington Carver High School for the Sciences,Not Available,NY,QUEENS,Not Available
q650,High School for Construction Trades Engineering and Architecture,Not Available,NY,QUEENS,Not Available
q093,I.S. 093 Ridgewood ,Not Available,NY,QUEENS,Not Available
q190,JHS 190Q Russell Sage,Not Available,NY,QUEENS,Not Available
q410,New Visions Charter High School for the Humanities IV,Not Available,NY,QUEENS,Not Available
q410,P.S. Q256,Not Available,NY,QUEENS,Not Available
q138,P.S./M.S. 138 Sunrise,Not Available,NY,QUEENS,Not Available
q744,Pan American International High School,Not Available,NY,QUEENS,Not Available
q177,PS 177Q Robin Sue Ward,Not Available,NY,QUEENS,Not Available
q188,PS 188Q Kingsbury,Not Available,NY,QUEENS,Not Available
q566,Queens High School of Teaching Liberal Arts and the Sciences,Not Available,NY,QUEENS,Not Available
q410,Rockaway Collegiate High School,Not Available,NY,QUEENS,Not Available
q410,Rockaway Park High School for Environmental Sustainability,Not Available,NY,QUEENS,Not Available
q620,Thomas A. Edison Career and Technical Education High School,Not Available,NY,QUEENS,Not Available
q744,Voyages Preparatory,Not Available,NY,QUEENS,Not Available
q025,World Journalism Preparatory: A College Board School,Not Available,NY,QUEENS,Not Available
x115,Academy for Personal Leadership and Excellence,Not Available,NY,BRONX,Not Available
x095,Ampark Neighborhood,Not Available,NY,BRONX,Not Available
x206,I.S. 206 Ann Mersereau,Not Available,NY,BRONX,Not Available
x095,P.S. 095 Sheila Mencher,Not Available,NY,BRONX,Not Available
x015,P.S. 15X,Not Available,NY,BRONX,Not Available
x235,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,Not Available,NY,BRONX,Not Available
x819,PS 207X,Not Available,NY,BRONX,Not Available
x285,The Highbridge Green School,Not Available,NY,BRONX,Not Available
m033,P.S. 33M,Not Available,NY,MANHATTAN,Not Available
